住所,lat,lon,位置精度,価格時点年,公示m2単価円,坪単価万円,相続税路線価,地積m2,前面道路幅員m,用途地域,建蔽率,容積率,最寄交通施設,交通距離m,周辺利用状況
浜松市中央区布橋2-2-25,34.719868,137.720322,exact,2026,90800,30.0,72000,169,4.2,白地地域（都市計画区域内未指定）,60,200,浜松,3000,一般住宅が建ち並ぶ文教施設に近い既成住宅地域
浜松市中央区幸1-4-19,34.739864,137.725037,exact,2026,104000,34.4,82000,231,13.3,第二種中高層住居専用地域,80,200,浜松,5200,店舗併用住宅等が建ち並ぶ国道沿いの商業地域
浜松市中央区幸2-37-10,34.739864,137.725037,exact,2026,83000,27.4,65000,287,4.5,準工業地域,40,60,浜松,4400,中規模一般住宅が建ち並ぶ高台の閑静な住宅地域
浜松市中央区幸4-24-9,34.739864,137.725037,exact,2026,83300,27.5,66000,231,4.5,工業専用地域,60,200,浜松,5300,中規模一般住宅が建ち並ぶ郊外の住宅地域
浜松市中央区広沢2-43-32,34.715424,137.717972,exact,2026,148000,48.9,110000,324,5.4,工業専用地域,60,200,浜松,3600,中規模一般住宅が多い環境の良い住宅地域
浜松市中央区志都呂2-11-8,34.698349,137.660233,exact,2026,111000,36.7,87000,1958,27.0,第二種中高層住居専用地域,80,200,浜松,8000,大規模な小売店舗等が建ち並ぶ路線商業地域
浜松市中央区新津町字北浦176番,34.721863,137.741684,exact,2026,91000,30.1,85000,2357,10.5,白地地域（都市計画区域内未指定）,60,200,助信,350,マンション、事業所等が混在する住宅地域
浜松市中央区早出町1222番6,34.733162,137.749298,exact,2026,93200,30.8,71000,193,6.0,白地地域（都市計画区域内未指定）,60,200,浜松,3900,中小規模の一般住宅等が建ち並ぶ住宅地域
浜松市中央区曳馬3-24-4,34.72805,137.738464,exact,2026,92200,30.5,72000,222,4.0,白地地域（都市計画区域内未指定）,60,200,浜松,3600,一般住宅が多い区画整然とした既成住宅地域
浜松市中央区有玉北町字上瀬1187番1外,34.767532,137.753937,exact,2026,87400,28.9,0,2154,22.0,指定なし（用途地域外）,60,200,浜松,6900,低層店舗等が建ち並ぶ国道沿いの路線商業地域
浜松市中央区有玉台3-6-5,34.760178,137.73912,exact,2026,86900,28.7,66000,214,6.0,工業専用地域,60,200,浜松,7800,一般住宅が建ち並ぶ区画整理済の住宅地域
浜松市中央区本郷町字祢宜島1359番8外,34.697372,137.762314,exact,2026,76300,25.2,60000,291,6.0,特定用途制限地域など特例,60,200,浜松,3100,一般住宅を中心とする区画整理済の住宅地域
浜松市中央区村櫛町字保令3854番2外,34.734631,137.59465,exact,2026,22500,7.4,0,276,5.5,白地地域（都市計画区域内未指定）,60,200,浜松,17000,一般住宅のほか空地等も見られる住宅地域
浜松市中央区東伊場2-6-7,34.700596,137.713501,exact,2026,109000,36.0,86000,221,25.5,第二種中高層住居専用地域,80,300,浜松,1800,店舗、事務所が建ち並ぶ路線商業地域
浜松市中央区東若林町670番1,34.689426,137.712189,exact,2026,67500,22.3,51000,178,4.0,白地地域（都市計画区域内未指定）,60,200,浜松,3200,中規模の一般住宅が多い既成住宅地域
浜松市中央区東若林町8番,34.689426,137.712189,exact,2026,89900,29.7,72000,589,20.0,田園住居地域,60,200,浜松,2200,自動車関連の店舗等が建ち並ぶ路線商業地域
浜松市中央区板屋町102番13外,34.706654,137.735123,exact,2026,270000,89.3,205000,396,10.0,第一種住居地域,80,600,浜松,500,中層の店舗、事務所が建ち並ぶ商業地域
浜松市中央区森田町字畷東60番外,34.694099,137.717575,exact,2026,48900,16.2,39000,1761,6.0,準住居地域,60,200,浜松,2200,倉庫、工場、住宅等が混在する工業地域
浜松市中央区池町221番11,34.709515,137.72963,exact,2026,169000,55.9,130000,160,12.5,第一種住居地域,80,600,浜松,900,低層の店舗併用住宅が建ち並ぶ既成商業地域
浜松市中央区泉3-2-18,34.739109,137.721542,exact,2026,78400,25.9,61000,189,4.0,田園住居地域,60,200,浜松,5700,一般住宅を中心に事業所等も混在する住宅地域
浜松市中央区流通元町16-2,34.744507,137.789444,exact,2026,53000,17.5,41000,1836,16.0,田園住居地域,60,200,浜松,8100,倉庫、配送センターが建ち並ぶ流通業務地域
浜松市中央区海老塚2-21-12,34.699268,137.729996,exact,2026,93600,30.9,73000,236,6.5,白地地域（都市計画区域内未指定）,60,200,浜松,1100,一般住宅、アパート等が混在する既成住宅地域
浜松市中央区渡瀬町字村前98番4,34.706341,137.760956,exact,2026,74100,24.5,59000,202,5.0,白地地域（都市計画区域内未指定）,60,200,浜松,2700,一般住宅が建ち並ぶ利便性の良い住宅地域
浜松市中央区湖東町字気賀谷1169番43,34.759209,137.674332,exact,2026,44400,14.7,0,274,6.0,指定なし（用途地域外）,60,200,浜松,11000,中規模一般住宅が建ち並ぶ郊外の住宅地域
浜松市中央区瓜内町字西川原361番7,34.68808,137.735077,exact,2026,64100,21.2,49000,169,5.0,白地地域（都市計画区域内未指定）,60,200,浜松,1700,中小規模の一般住宅が多い既成住宅地域
浜松市中央区田町231番4,34.708363,137.730972,exact,2026,167000,55.2,130000,312,6.0,第一種住居地域,80,600,浜松,900,中低層の店舗、事務所等が建ち並ぶ商業地域
浜松市中央区白鳥町字壱町田986番,34.744129,137.802048,exact,2026,45300,15.0,0,283,7.5,指定なし（用途地域外）,60,200,浜松,8500,一般住宅、事業所が見られる住宅地域
浜松市中央区相生町15-5,34.708038,137.746826,exact,2026,96000,31.7,76000,175,19.0,第一種住居地域,80,400,浜松,1700,営業所、店舗等が建ち並ぶ国道沿いの商業地域
浜松市中央区砂山町325番8外,34.7019,137.734604,exact,2026,460000,152.1,350000,121,18.0,第一種住居地域,80,600,浜松,0,中高層事務所等が建ち並ぶ駅南口接面の商業地域
浜松市中央区砂山町336番4,34.7019,137.734604,exact,2026,135000,44.6,105000,192,25.0,第一種住居地域,80,500,浜松,440,中低層の事務所ビル等が見られる商業地域
浜松市中央区砂山町353番3外,34.7019,137.734604,exact,2026,261000,86.3,200000,339,25.0,第一種住居地域,80,500,浜松,170,中高層事務所ビル、ホテル等が建ち並ぶ商業地域
浜松市中央区神ケ谷町字東4421番,34.723148,137.678253,exact,2026,34900,11.5,0,249,4.0,指定なし（用途地域外）,60,200,浜松,7200,農家住宅、一般住宅等が混在する既成住宅地域
浜松市中央区神田町字中畑136番6外,34.686474,137.721649,exact,2026,76000,25.1,59000,132,5.0,白地地域（都市計画区域内未指定）,60,200,浜松,1800,一般住宅のほかに医院等が見られる住宅地域
浜松市中央区篠ケ瀬町字下堀前95番,34.727535,137.775284,exact,2026,87500,28.9,68000,142,7.0,白地地域（都市計画区域内未指定）,60,200,浜松,5700,一般住宅の中に営業所等が見られる住宅地域
浜松市中央区篠原町字與久1794番2,34.68391,137.6642,exact,2026,41500,13.7,33000,198,4.0,白地地域（都市計画区域内未指定）,60,200,浜松,7700,一般住宅を中心に小工場等も見られる住宅地域
浜松市中央区紺屋町308番4,34.707516,137.726334,exact,2026,139000,46.0,110000,312,7.0,第一種住居地域,80,500,浜松,1100,事務所、マンション等が混在する商業地域
浜松市中央区舘山寺町字阿原2031番9,34.760361,137.620331,exact,2026,45200,14.9,0,224,10.0,第一種住居地域,80,400,浜松,15000,土産物店、飲食店等が建ち並ぶ観光商業地域
浜松市中央区舞阪町浜田164番2外,34.682407,137.621399,exact,2026,33200,11.0,27000,179,4.7,白地地域（都市計画区域内未指定）,60,200,舞阪,1300,一般住宅の中に空地等が見られる住宅地域
浜松市中央区舞阪町舞阪字十王16番2,34.687244,137.615387,exact,2026,27900,9.2,22000,191,4.0,白地地域（都市計画区域内未指定）,60,200,弁天島,800,一般住宅が多い漁港近くの既成住宅地域
浜松市中央区萩丘2-43-10,34.749565,137.725739,exact,2026,83200,27.5,62000,205,4.0,白地地域（都市計画区域内未指定）,60,200,浜松,5500,中規模の一般住宅が多い高台の既成住宅地域
浜松市中央区葵西5-20-40,34.765339,137.714066,exact,2026,78400,25.9,61000,148,5.3,白地地域（都市計画区域内未指定）,60,200,浜松,9800,中小規模の一般住宅が建ち並ぶ郊外の住宅地域
浜松市中央区蜆塚2-13-18,34.712185,137.71283,exact,2026,136000,45.0,105000,200,6.0,工業専用地域,60,200,浜松,3000,一般住宅が建ち並ぶ既成住宅地域
浜松市中央区鍛冶町320番18外,34.70425,137.731903,exact,2026,670000,221.5,510000,231,36.0,第一種住居地域,80,600,浜松,500,中高層ビル、小売店舗が建ち並ぶ中心的商業地域
浜松市中央区雄踏1-18-27,34.693985,137.64592,exact,2026,72800,24.1,58000,223,6.0,工業専用地域,60,200,浜松,8700,一般住宅等が建ち並ぶ区画整理済の住宅地域
浜松市中央区雄踏町宇布見字谷田600番158,34.702011,137.630325,exact,2026,55400,18.3,0,221,6.2,指定なし（用途地域外）,60,200,浜松,9800,住宅が建ち並ぶ高台の区画整然とした住宅地域
浜松市中央区雄踏町宇布見字領家4973番4,34.702011,137.630325,exact,2026,54200,17.9,43000,256,4.5,特定用途制限地域など特例,60,200,浜松,9600,中規模の一般住宅が多い既成住宅地域
浜松市中央区頭陀寺町字三丁目330番21,34.69873,137.757996,exact,2026,78500,26.0,62000,214,6.0,白地地域（都市計画区域内未指定）,60,200,浜松,2700,住宅の中に店舗が見られる区画整理済の住宅地域
浜松市中央区頭陀寺町字三丁目332番19外,34.69873,137.757996,exact,2026,73600,24.3,59000,1125,30.0,白地地域（都市計画区域内未指定）,60,200,浜松,2600,低層の店舗、一般住宅等が見られる路線商業地域
浜松市中央区馬郡町字新出来道4204番1外,34.686382,137.633194,exact,2026,39400,13.0,32000,224,5.1,白地地域（都市計画区域内未指定）,60,200,舞阪,700,住宅の中に農地等も見られる郊外の住宅地域
浜松市中央区高丘東1-9-37,34.755383,137.706955,exact,2026,66100,21.9,52000,1493,12.0,準住居地域,60,200,浜松,8300,中小工場、倉庫、住宅等が混在する工業地域
浜松市中央区高丘東5-1-26,34.755383,137.706955,exact,2026,71000,23.5,70000,13320,18.0,白地地域（都市計画区域内未指定）,60,200,浜松,8100,住宅団地内の幹線道路沿いの商業地域
浜松市中央区高丘西3-52-21,34.756447,137.702484,exact,2026,92300,30.5,73000,382,28.0,第二種中高層住居専用地域,80,200,浜松,8700,低層の店舗、営業所等が混在する路線商業地域
浜松市中央区高丘西4-7-19,34.756447,137.702484,exact,2026,60800,20.1,47000,16551,12.0,田園住居地域,60,200,浜松,10000,物流関連施設が建ち並ぶ流通業務地域
浜松市中央区高塚町1788番6外,34.690266,137.681183,exact,2026,37300,12.3,29000,2244,7.0,準住居地域,60,200,浜松,6200,中小規模の工場のほかに住宅も見られる工業地域
浜松市中央区高塚町181番1,34.690266,137.681183,exact,2026,71300,23.6,57000,223,5.4,白地地域（都市計画区域内未指定）,60,200,浜松,6200,一般住宅に駐車場等が見られる既成住宅地域
浜松市中央区鴨江1-10-3,34.702599,137.720932,exact,2026,119000,39.3,92000,185,12.0,第二種中高層住居専用地域,80,300,浜松,1400,小規模店舗、住宅等が混在する既成商業地域
浜松市中央区鴨江2-35-37,34.702599,137.720932,exact,2026,97200,32.1,77000,149,5.5,工業専用地域,60,200,浜松,2000,小規模住宅のほかに店舗等が混在する住宅地域
浜松市中央区鴨江4-34-16,34.702599,137.720932,exact,2026,88900,29.4,71000,155,4.0,工業専用地域,60,200,浜松,1800,中小規模の一般住宅が建ち並ぶ既成住宅地域
浜松市中央区鶴見町字堤東1210番38,34.710228,137.793259,exact,2026,51400,17.0,0,243,9.0,白地地域（都市計画区域内未指定）,60,200,浜松,5300,一般住宅が建ち並ぶ卸売市場近くの住宅地域
浜松市中央区龍禅寺町字龍ケ崎592番,34.696106,137.740295,exact,2026,79300,26.2,62000,218,6.0,都市計画区域外,60,200,浜松,1500,一般住宅の中に事業所等が見られる既成住宅地域
浜松市天竜区二俣町二俣字和田1985番外,34.864529,137.815796,exact,2026,38100,12.6,0,310,6.0,都市計画区域外,60,200,二俣本町,350,一般住宅が建ち並ぶ既成住宅地域
浜松市天竜区二俣町二俣字城下1490番,34.864529,137.815796,exact,2026,39200,13.0,0,165,14.9,第二種中高層住居専用地域,80,200,二俣本町,250,店舗、営業所等が見られる国道沿いの商業地域
浜松市天竜区山東字上市場4254番2,34.896603,137.834045,exact,2026,33900,11.2,0,195,8.0,白地地域（都市計画区域内未指定）,60,200,二俣本町,1600,中規模一般住宅の中に空地も見られる住宅地域
浜松市天竜区船明字扇田2520番20,34.890594,137.819458,exact,2026,19600,6.5,0,190,5.0,工業専用地域,60,150,二俣本町,3000,中規模一般住宅が多い郊外の住宅地域
浜松市浜名区三ヶ日町三ヶ日字浜崎578番5外,34.80666,137.548767,exact,2026,36300,12.0,0,183,6.5,特定用途制限地域など特例,60,150,三ヶ日,600,一般住宅の中に空地が見られる閑静な住宅地域
浜松市浜名区三ヶ日町都筑字紺屋門2154番6,34.790768,137.580826,exact,2026,25400,8.4,0,175,4.5,工業専用地域,60,150,都筑,400,一般住宅、農家住宅等が混在する住宅地域
浜松市浜名区中条710番6,34.783016,137.782608,exact,2026,70800,23.4,56000,142,5.0,白地地域（都市計画区域内未指定）,60,200,遠州小松,700,一般住宅の中に空地等が見られる住宅地域
浜松市浜名区中瀬字大平7136番139外,34.828583,137.816498,exact,2026,57000,18.8,0,2455,22.0,白地地域（都市計画区域内未指定）,60,200,西鹿島,770,店舗のほか一般住宅等も見られる郊外の商業地域
浜松市浜名区中瀬字大平7185番9,34.828583,137.816498,exact,2026,58700,19.4,0,204,5.0,白地地域（都市計画区域内未指定）,60,200,西鹿島,500,一般住宅が多い郊外の区画整然とした住宅地域
浜松市浜名区中瀬字大平7776番5外,34.828583,137.816498,exact,2026,30300,10.0,0,52863,10.0,第二種住居地域,60,200,西鹿島,1200,大中規模の工場が建ち並ぶ内陸型工業地域
浜松市浜名区小松417番,34.788467,137.772018,exact,2026,81700,27.0,64000,233,7.0,特定用途制限地域など特例,60,150,遠州小松,650,中規模一般住宅が多い既成住宅地域
浜松市浜名区平口483番,34.799557,137.761536,exact,2026,41500,13.7,0,344,5.3,指定なし（用途地域外）,60,200,浜北,2500,一般住宅のほかに農地等が見られる住宅地域
浜松市浜名区引佐町井伊谷字田中2550番9,34.83419,137.675262,exact,2026,39800,13.2,0,202,6.0,白地地域（都市計画区域内未指定）,60,200,金指,2300,中規模一般住宅の中に空地等も見られる住宅地域
浜松市浜名区引佐町横尾字六地蔵前875番5,34.836216,137.660309,exact,2026,20200,6.7,0,472,8.0,指定なし（用途地域外）,60,200,金指,4200,一般住宅、農家住宅、店舗が混在する住宅地域
浜松市浜名区引佐町金指字東金指1029番6,34.823235,137.680649,exact,2026,43700,14.4,0,133,6.5,工業専用地域,60,100,金指,160,一般住宅等が建ち並ぶ利便性の良い既成住宅地域
浜松市浜名区新都田2-3-6,34.821564,137.731094,exact,2026,68100,22.5,54000,238,6.0,工業専用地域,60,200,浜松,13000,一般住宅が建ち並ぶ区画整然とした住宅地域
浜松市浜名区新都田4-4-3,34.821564,137.731094,exact,2026,36300,12.0,28000,13998,15.0,第二種住居地域,60,200,浜松,14000,中規模の工場が建ち並ぶ街区整然とした工業団地
浜松市浜名区於呂字立丁1982番2外,34.836628,137.798691,exact,2026,46500,15.4,0,365,7.0,指定なし（用途地域外）,60,200,遠州岩水寺,500,一般住宅、農家住宅等が混在する郊外の住宅地域
浜松市浜名区本沢合164番1,34.81216,137.799057,exact,2026,84200,27.8,67000,268,16.0,その他,60,200,遠州小林,500,郊外型の低層店舗事務所が建ち並ぶ路線商業地域
浜松市浜名区東美薗1324番2外,34.796207,137.803513,exact,2026,46600,15.4,0,195,4.6,指定なし（用途地域外）,60,200,遠州小林,1500,戸建住宅を中心に農地が多く見られる住宅地域
浜松市浜名区染地台4-6-25,34.784172,137.744492,exact,2026,75400,24.9,0,246,6.0,準工業地域,50,100,遠州小松,3700,一般住宅が建ち並ぶ新しく開発された住宅地域
浜松市浜名区横須賀字川原1384番2,34.788834,137.787369,exact,2026,78000,25.8,61000,223,4.5,工業専用地域,60,150,浜北,480,中規模住宅等の多い利便性の良い住宅地域
浜松市浜名区細江町中川字不動平7172番1520,34.806942,137.678391,exact,2026,41000,13.6,0,324,5.5,指定なし（用途地域外）,60,200,気賀,3800,農家住宅と畑地等が混在する台地上の住宅地域
浜松市浜名区細江町中川字川久保4911番14外,34.806942,137.678391,exact,2026,33800,11.2,0,230,4.0,特定用途制限地域など特例,60,150,気賀,1700,一般住宅の中に農地等が見られる既成住宅地域
浜松市浜名区細江町広岡字外平83番1,34.810371,137.65979,exact,2026,35300,11.7,0,216,5.0,準工業地域,60,100,気賀,1600,一般住宅の中に農地が見られる住宅地域
浜松市浜名区細江町気賀字上気賀853番2外,34.802845,137.632553,exact,2026,30800,10.2,0,267,4.0,特定用途制限地域など特例,60,150,気賀,700,一般住宅が密集する既成住宅地域
浜松市浜名区西中瀬2-6-19,34.821514,137.809357,exact,2026,70600,23.3,0,302,6.0,工業専用地域,50,150,遠州芝本,1200,一般住宅が増えつつある区画整然とした住宅地域
浜松市浜名区貴布祢字川田103番11外,34.795467,137.782883,exact,2026,91800,30.3,73000,252,17.0,第一種住居地域,80,400,浜北,200,中低層の店舗併用住宅を中心とする商業地域
浜松市浜名区都田町字前原8017番6,34.822887,137.726944,exact,2026,47700,15.8,0,260,8.0,指定なし（用途地域外）,60,200,浜松,13000,一般住宅、農地等が見られる台地上の住宅地域
