No,物件種目,所在地,建物名/部屋番号,公開日,登録価格（万円）,坪単価（万円）,交通,土地面積（㎡）,土地権利,建ぺい率,容積率,用途地域,私道面積,私道持分,築年月,建物構造,物件構造,階建/階,取引態様,利回り,保証金,広告転載,条件等,登録会員,TEL,lat,lng
25,売地,浜松市中央区石原町222,-,2026/05/23,440000,2.65,バス停 びしゃ門寺 停歩5分,499.0,所有権,60,-,無指定,-,-,-,-,-,-,媒介,-,-,要確認,現況渡し,(株)山崎不動産,053-463-8713,34.6918443,137.7717718
26,売地,浜松市中央区石原町,-,2026/05/23,886600,7.01,バス停 古川 停歩2分,406.0,所有権,60,-,-,-,-,-,-,-,-,媒介,-,-,転載不可,現況渡し,(株)山崎不動産,053-463-8713,34.6918443,137.7717718
27,売地,浜松市中央区石原町,-,2026/05/28,11005599,8,バス停 古川 停歩5分,438.0,所有権,60,-,無指定,-,-,-,-,-,-,媒介,-,-,転載不可,現況渡し,とぴあ浜松農業協同組合不動産センター有玉店,053-476-3152,34.6918443,137.7717718
28,売地,浜松市中央区石原町678、679,-,2026/03/29,1935,14.91,東海道本線 浜松 徒歩4 0分,429.12,所有権,60,-,1種住居,-,-,-,-,-,-,専任,-,-,転載不可,現況渡し,(株)ツチヤ・フソウホーム,053-448-1660,34.6899892,137.7681193
29,売地,浜松市中央区泉１丁目837-61の一部,-,2026/04/02,5251,40,徒歩29分,434.03,所有権,80,-,近隣商業,-,-,-,-,-,-,媒介,-,-,転載不可,更地渡し,とぴあ浜松農業協同組合不動産センター有玉店,053-476-3152,34.7397478,137.7212337
30,売地,浜松市中央区泉３丁目1-4,-,2026/05/25,78,10.77,-,78.71,所有権,60,-,準工業,-,-,-,-,-,-,一般,-,-,転載不可,-,(株)マエフジ不動産,053-472-3341,34.7452478,137.72334
31,売地,浜松市中央区市野町1061-1，1062-3，1062-4,-,2026/04/26,39,5.39,-,490.92,所有権,60,-,無指定,-,-,-,-,-,-,専属専任,-,-,要確認,現況渡し,川井建設(株),053-461-9491,34.7489745,137.7777477
32,売地,浜松市中央区入野町村前10086,-,2026/04/10,630,2.01,東海道本線 高塚 徒歩22分,1041.0,所有権,60,-,-,-,-,-,-,-,-,媒介,-,-,要確認,現況渡し,エネロップ(株),0563-55-0131,34.698039,137.6792657
33,売地,浜松市中央区入野町字彦尾前913番1,-,2026/04/28,887788,3.01,バス停 遠鉄バス「東彦尾」 停歩7分,968.0,所有権,60,-,無指定,-,-,-,-,-,-,専任,-,-,転載不可,現況渡し,(株)ヤマセ不動産,053-474-2188,34.7002449,137.6913677
34,売地,浜松市中央区入野町,-,2026/05/11,29,5.29,-,1551.05,所有権,60,-,1種中高,-,-,-,-,-,-,専任,-,-,要確認,現況渡し,(株)マストレ 高林支店,053-472-5656,34.698039,137.6792657
35,売地,浜松市中央区入野町,-,2026/05/14,2980,5.35,東海道本線 高塚 徒歩16分,1843.0,所有権,60,-,無指定,-,-,-,-,-,-,一般,-,-,転載不可,現況渡し,浜松損害保険サービス(株),053-459-4180,34.698039,137.6792657
36,売地,浜松市中央区入野町,-,2026/05/15,-,40,-,578.0,所有権,40,-,1種中高,-,-,-,-,-,-,一般,-,-,要確認,現況渡し,(株)マストレ,053-448-5656,34.698039,137.6792657
37,売地,浜松市中央区植松町,-,2026/05/09,33779900,36.01,バス停 名塚町 停歩3分,348.0,所有権,70,-,1種住居,-,-,-,-,-,-,媒介,-,-,転載不可,現況渡し,浜松不動産(株),053-458-0555,34.7091484,137.7575916
38,売地,浜松市中央区瓜内町８４１,-,2026/05/15,11110000,8.36,バス停 瓜内東 停歩4分,435.0,所有権,60,-,無指定,-,-,-,-,-,-,専任,-,-,要確認,現況渡し,(株)アライブ 企画営業部,053-476-7112,34.6883365,137.7354041
39,売地,浜松市中央区瓜内町140,-,2026/05/23,1,-,-,409.86,所有権,60,-,1種住居,-,-,-,-,-,-,一般,-,-,転載不可,更地渡し,しずなび(株) 浜松東店,053-467-6700,34.6911868,137.7365941
40,売地,浜松市中央区瓜内町323ー1,-,2026/05/29,22882244,23,バス停 浜松神社 停歩8分,406.0,所有権,60,-,1種住居,-,-,-,-,-,-,一般,-,-,要確認,相談,ユタカ土地,053-425-5771,34.6914701,137.7337134
41,売地,浜松市中央区江之島町５２６－１,-,2026/05/13,995500,6.83,バス停 江之島町 停歩2分,460.48,所有権,60,-,無指定,-,-,-,-,-,-,専任,-,-,転載不可,現況渡し,遠州鉄道(株) 浜松店,053-471-0202,34.6619618,137.7563588
42,売地,浜松市中央区江之島町240-1,-,2026/05/12,1,-,-,790.0,所有権,60,-,-,-,-,-,-,-,-,媒介,-,-,転載不可,現況渡し,(株)丸久不動産,053-543-9000,34.66936,137.7561469
43,売地,浜松市中央区江之島町３２０番１,-,2026/05/23,22449900,4.68,バス停 江之島町 停歩4分,1760.85,所有権,60,-,無指定,-,-,-,-,-,-,専任,-,-,転載不可,相談,遠州鉄道(株) 浜松店,053-471-0202,34.6682221,137.7556653
44,売地,浜松市中央区江之島町５２４番１、５２５番１,-,2026/06/01,22778800,8.21,バス停 江之島町 停歩2分,1120.05,所有権,60,-,無指定,-,-,-,-,-,-,専任,-,-,転載不可,相談,遠州鉄道(株) 浜松店,053-471-0202,34.6619618,137.7563588
45,売地,浜松市中央区遠州浜１丁目１０－２,-,2026/05/18,44880000,7.51,-,2113.02,所有権,70,-,2種中高,-,-,-,-,-,-,売主,-,-,転載不可,更地渡し,(株)不動産のおおさわ,053-581-8600,34.6569766,137.7612435
46,売地,浜松市中央区遠州浜２丁目1717-31・32,-,2026/06/01,86,5.86,-,338.7,所有権,60,-,1種中高,-,-,-,-,-,-,媒介,-,-,転載不可,現況渡し,杉山観光開発(株),053-454-3013,34.6572597,137.7680723
47,売地,浜松市中央区大久保町6471-1の一部,-,2026/05/28,885500,7.16,バス停 神久呂小学校 停歩5分,392.98,所有権,60,-,-,-,-,-,-,-,-,媒介,-,-,転載不可,現況渡し,とぴあ浜松農業協同組合不動産センター有玉店,053-476-3152,34.7146877,137.6504382
48,売地,浜松市中央区大島町３８６番の一部（Ｂ区画）,-,2026/03/27,67,3.67,-,373.0,所有権,60,-,無指定,-,-,-,-,-,-,専任,-,-,転載不可,現況渡し,アースデイ不動産,053-441-2103,34.75966470000001,137.7798482
49,売地,浜松市中央区大島町４９６－３,-,2026/05/29,660000,6.5,バス停 とちの木南 停歩11分,354.0,所有権,60,-,無指定,-,-,-,-,-,-,専任,-,-,転載不可,現況渡し,遠州鉄道(株) 高台店,053-437-1976,34.7571251,137.7780573
50,売地,浜松市中央区大島町137,-,2026/05/29,668800,6.78,-,331.98,所有権,60,-,-,-,-,-,-,-,-,媒介,-,-,転載不可,現況渡し,(株)セカイエ,053-581-8300,34.7653152,137.7773217
51,売地,浜松市中央区大島町３６３,-,2026/06/01,700,5.1,徒歩23分,454.0,所有権,-,-,無指定,-,-,-,-,-,-,一般,-,-,転載不可,現況渡し,遠州鉄道(株) 袋井店,0538-31-8711,34.7653152,137.7773217
52,売地,浜松市中央区大島町1004,-,2026/04/18,700,6.91,徒歩21分,335.0,所有権,60,-,無指定,-,-,-,-,-,-,媒介,-,-,転載不可,現況渡し,(有)弥生不動産,053-587-0030,34.7653152,137.7773217
53,売地,浜松市中央区大島町１１７４番内,-,2026/04/23,1177,5,-,499.0,所有権,60,-,-,-,-,-,-,-,-,媒介,-,-,転載不可,現況渡し,とぴあ浜松農業協同組合不動産センター有玉店,053-476-3152,34.7653152,137.7773217
54,売地,浜松市中央区大島町1004,-,2026/05/07,778800,7.7,バス停 大島町 停歩4分,335.0,所有権,60,-,無指定,-,-,-,-,-,-,媒介,-,-,要確認,現況渡し,曳馬土地開発(株),053-463-2161,34.7653152,137.7773217
55,売地,浜松市中央区大島町１００４,-,2026/04/23,778800,7.7,バス停 大島町 停歩4分,335.0,所有権,60,-,-,-,-,-,-,-,-,媒介,-,-,要確認,現況渡し,とぴあ浜松農業協同組合不動産センター有玉店,053-476-3152,34.7653152,137.7773217
56,売地,浜松市中央区大島町1479外 一部,-,2026/05/22,779900,5.27,バス停 上大瀬公会堂 停歩3分,496.24,所有権,60,-,無指定,-,-,-,-,-,-,一般,-,-,転載不可,現況渡し,アイエス宅建,053-434-6810,34.7653152,137.7773217
57,売地,浜松市中央区大島町,-,2026/05/25,50,7.5,-,353.07,所有権,60,-,無指定,-,-,-,-,-,-,一般,-,-,要確認,現況渡し,(株)マストレ 高林支店,053-472-5656,34.7653152,137.7773217
58,売地,浜松市中央区大島町559外1筆 一部,-,2026/04/30,997788,7.5,バス停 東高校入口 停歩3分,431.48,所有権,60,-,無指定,-,-,-,-,-,-,専任,-,-,転載不可,現況渡し,アイエス宅建,053-434-6810,34.7653152,137.7773217
59,売地,浜松市中央区大島町,-,2026/05/29,980,7.16,徒歩30分,453.0,所有権,60,-,取引態様,-,-,-,-,-,-,専任,-,-,要確認,現況渡し,水嶋宅建(株),053-433-7660,34.7653152,137.7773217
60,売地,浜松市中央区大島町,-,2026/05/26,64,6.64,-,498.27,所有権,60,-,無指定,-,-,-,-,-,-,一般,-,-,要確認,更地渡し,(株)マストレ企画営業所,053-401-3456,34.7653152,137.7773217
61,売地,浜松市中央区大島町７７８,-,2026/04/23,11113344,7.5,バス停 上大瀬公会堂 停歩5分,499.99,所有権,60,-,-,-,-,-,-,-,-,媒介,-,-,転載不可,相談,とぴあ浜松農業協同組合不動産センター有玉店,053-476-3152,34.7653152,137.7773217
62,売地,浜松市中央区大島町1119 の一部,-,2026/03/30,11668800,14.64,バス停 上大瀬公会堂 停歩2分,379.5,所有権,60,-,無指定,-,-,-,-,-,-,一般,-,-,転載不可,現況渡し,アイエス宅建,053-434-6810,34.7653152,137.7773217
63,売地,浜松市中央区大島町,-,2026/05/13,-,5,-,1507.0,所有権,60,-,無指定,-,-,-,-,-,-,一般,-,-,要確認,現況渡し,(株)マストレ企画営業所,053-401-3456,34.7653152,137.7773217
64,売地,浜松市中央区大島町1119,-,2026/04/09,22770000,13.45,バス停 上大瀬公会堂 停歩2分,664.0,所有権,60,-,無指定,-,-,-,-,-,-,一般,-,-,転載不可,現況渡し,アイエス宅建,053-434-6810,34.7653152,137.7773217
65,売地,浜松市中央区大島町1473外5筆,-,2026/04/30,99990000,11.84,バス停 上大瀬公会堂 停歩3分,2766.35,所有権,60,-,無指定,-,-,-,-,-,-,一般,-,-,転載不可,現況渡し,アイエス宅建,053-434-6810,34.7653152,137.7773217
66,売地,浜松市中央区大瀬町417-1,-,2026/04/29,580,5.51,徒歩5分,348.0,所有権,60,-,-,-,-,-,-,-,-,媒介,-,-,転載不可,建築条件付,(株)アトラック,053-454-4551,34.7576309,137.7575379
67,売地,浜松市中央区大瀬町,-,2026/05/14,600,4.71,徒歩17分,421.19,所有権,60,-,無指定,-,-,-,-,-,-,一般,-,-,要確認,現況渡し,(株)マストレ,053-448-5656,34.7592816,137.7711552
68,売地,浜松市中央区大瀬町,-,2026/05/08,95,5.95,-,445.0,所有権,60,-,無指定,-,-,-,-,-,-,一般,-,-,要確認,現況渡し,(株)マストレ 高林支店,053-472-5656,34.7592816,137.7711552
69,売地,浜松市中央区大瀬町2446-1・2447-2,-,2026/04/09,880000,7.98,バス停 さぎの宮北 停歩2分,331.58,所有権,60,-,無指定,-,-,-,-,-,-,専属専任,-,-,転載不可,現況渡し,アイエス宅建,053-434-6810,34.7592816,137.7711552
70,売地,浜松市中央区大瀬町,-,2026/05/17,840,8.03,徒歩3分,346.0,所有権,60,-,無指定,-,-,-,-,-,-,一般,-,-,転載不可,現況渡し,(株)マストレ東営業所,053-462-5656,34.7592816,137.7711552
71,売地,浜松市中央区大塚町２０７他,-,2026/03/25,11220000,1.53,バス停 緑化推進センター 停歩3分,2593.43,所有権,60,-,無指定,-,-,-,-,-,-,媒介,-,-,転載可,現況渡し,アート地建(株),053-528-7605,34.6977315,137.7896566
72,売地,浜松市中央区大人見町2325-1,-,2026/06/01,-,3,-,527.0,所有権,-,-,無指定,-,-,-,-,-,-,一般,-,-,転載不可,現況渡し,(株)リデコ,053-488-4537,34.7383063,137.6510054
73,売地,浜松市中央区大平台１丁目8-18,-,2026/05/08,55228800,40.76,バス停 大平台2丁目北 停歩10分,428.32,所有権,40,-,1種低層,-,-,-,-,-,-,一般,-,-,転載不可,更地渡し,(株)マルショウ企画,053-447-1115,34.7204463,137.6878535
74,売地,浜松市中央区大平台２丁目,-,2026/05/29,44000000,39.43,バス停 大平台2丁目南 停歩2分,335.39,所有権,40,-,1種低層,-,-,-,-,-,-,一般,-,-,転載不可,現況渡し,ミタカ不動産(株) 本店,058-246-4770,34.7128569,137.6861319
75,売地,浜松市中央区大平台３丁目128番12,-,2026/03/16,96,33.96,-,350.46,所有権,80,-,近隣商業,-,-,-,-,-,-,媒介,-,-,転載不可,建築条件付,(株)リンク,053-424-5000,34.7128133,137.6793606
76,売地,浜松市中央区大平台４丁目128-7,-,2026/03/31,51,-,-,338.0,所有権,60,-,1種中高,-,-,-,-,-,-,一般,-,-,転載不可,現況渡し,(株)丸浜不動産コンサルティング,053-447-8817,34.7089652,137.6756675
77,売地,浜松市中央区大柳町842-1,-,2026/06/01,821,3,-,905.0,所有権,60,-,無指定,-,-,-,-,-,-,一般,-,-,転載不可,現況渡し,(株)リデコ,053-488-4537,34.6772836,137.7575916
78,売地,浜松市中央区大柳町107-1,-,2026/04/08,3864,9.4,-,1359.15,所有権,-,-,-,-,-,-,-,-,-,専任,-,-,転載不可,現況渡し,ゼロ(株),053-482-8777,34.6808841,137.7548272
79,売地,浜松市中央区大山町4067-1,-,2026/04/07,822,7,徒歩30分,2819.0,所有権,60,-,無指定,-,-,-,-,-,-,一般,-,-,転載不可,現況渡し,SMD不動産(株),053-401-4235,34.7789509,137.6812072
80,売地,浜松市中央区笠井上町,-,2026/05/14,57,11.57,-,365.97,所有権,60,-,1種住居,-,-,-,-,-,-,一般,-,-,要確認,現況渡し,(株)マストレ,053-448-5656,34.77619540000001,137.7989098
81,売地,浜松市中央区笠井上町,-,2026/05/26,51,12.51,-,343.62,所有権,60,-,無指定,-,-,-,-,-,-,一般,-,-,要確認,更地渡し,(株)マストレ,053-448-5656,34.77619540000001,137.7989098
82,売地,浜松市中央区笠井新田町111番2,-,2026/05/05,2463,23,徒歩21分,354.07,所有権,60,-,無指定,-,-,-,-,-,-,一般,-,-,転載不可,現況渡し,浜松損害保険サービス(株),053-459-4180,34.7708661,137.7897631
83,売地,浜松市中央区笠井町1526,-,2026/05/21,11000000,6.63,バス停 西の山 停歩8分,498.84,所有権,60,-,無指定,-,-,-,-,-,-,一般,-,-,転載不可,現況渡し,(株)クレイドル,053-424-9966,34.7681043,137.7945914
84,売地,浜松市中央区笠井町1546-3,-,2026/04/16,1000,10,徒歩36分,330.63,所有権,60,-,無指定,-,-,-,-,-,-,専属専任,-,-,転載不可,現況渡し,(株)トコー不動産,0538-55-2840,34.764148,137.7934432
85,売地,浜松市中央区笠井町1525-1,-,2026/05/21,1550,12.29,徒歩34分,417.05,所有権,60,-,無指定,-,-,-,-,-,-,専任,-,-,要確認,現況渡し,(株)クレイドル,053-424-9966,34.7681043,137.7945914
86,売地,浜松市中央区金折町,-,2026/05/23,445544,3.01,バス停 金折 停歩3分,500.0,所有権,60,-,-,-,-,-,-,-,-,媒介,-,-,転載可,現況渡し,(株)山崎不動産,053-463-8713,34.6923125,137.7822553
87,売地,浜松市中央区金折町,-,2026/05/24,49,4.49,-,367.0,所有権,60,-,無指定,-,-,-,-,-,-,一般,-,-,転載不可,相談,(有)ホームズ,053-455-2223,34.6923125,137.7822553
88,売地,浜松市中央区金折町999,-,2026/05/23,449988,4.49,バス停 金折住吉館 停歩1分,367.0,所有権,60,-,無指定,-,-,-,-,-,-,媒介,-,-,要確認,現況渡し,(株)山崎不動産,053-463-8713,34.6923125,137.7822553
89,売地,浜松市中央区金折町609,-,2026/05/23,778833,5.81,バス停 金折住吉館 停歩3分,446.0,所有権,60,-,無指定,-,-,-,-,-,-,媒介,-,-,要確認,現況渡し,(株)山崎不動産,053-463-8713,34.6923125,137.7822553
90,売地,浜松市中央区金折町,-,2026/05/24,-,4,-,1261.0,所有権,60,-,無指定,-,-,-,-,-,-,一般,-,-,転載不可,相談,(有)ホームズ,053-455-2223,34.6923125,137.7822553
91,売地,浜松市中央区金折町,-,2026/05/28,22777700,4,バス停 びしゃ門寺 停歩3分,2290.0,所有権,60,-,無指定,-,-,-,-,-,-,媒介,-,-,転載不可,現況渡し,とぴあ浜松農業協同組合不動産センター有玉店,053-476-3152,34.6923125,137.7822553
92,売地,浜松市中央区上石田町2178-2,-,2026/04/13,2,-,-,354.0,所有権,60,-,無指定,-,-,-,-,-,-,専任,-,-,転載不可,現況渡し,(株)テラニシ,053-523-6201,34.7503458,137.7819481
93,売地,浜松市中央区上石田町2178-2,-,2026/05/25,22775555,14,バス停 上石田西 停歩4分,650.71,所有権,60,-,-,-,-,-,-,-,-,専任,-,-,要確認,現況渡し,上島不動産(株),053-473-5000,34.7503458,137.7819481
94,売地,浜松市中央区神ケ谷町,-,2026/05/17,995500,4.69,バス停 神原上 停歩4分,669.91,所有権,60,-,無指定,-,-,-,-,-,-,専任,-,-,転載不可,更地渡し,遠州鉄道(株) 浜松店,053-471-0202,34.7195665,137.6723068
95,売地,浜松市中央区神ケ谷町８９５２－１,-,2026/05/26,22111122,20.79,バス停 弥生団地西 停歩11分,582.0,所有権,40,-,無指定,-,-,-,-,-,-,専任,-,-,転載不可,現況渡し,(株)アライブ 企画営業部,053-476-7112,34.7195665,137.6723068
96,売地,浜松市中央区上島６丁目2680-9,-,2026/04/14,1950,19.19,徒歩10分,336.0,所有権,60,-,2種住居,-,-,-,-,-,-,専任,-,-,転載不可,更地渡し,ゼロ(株),053-482-8777,34.7439861,137.737869
97,売地,浜松市中央区上島６丁目１３－１０,-,2026/05/19,3000,26.16,徒歩15分,379.14,所有権,60,-,1種中高,-,-,-,-,-,-,専任,-,-,転載不可,相談,遠州鉄道(株) 高台店,053-437-1976,34.7405048,137.7356526
98,売地,浜松市中央区神田町,-,2026/05/30,90,22.9,-,361.0,所有権,60,-,無指定,-,-,-,-,-,-,一般,-,-,要確認,現況渡し,(株)マストレ,053-448-5656,34.6865976,137.7206176
99,売地,浜松市中央区神田町957,-,2026/04/09,2500,5.15,ＪＲ東海道新幹線 浜松 徒歩34分,361.0,所有権,60,-,無指定,-,-,-,-,-,-,一般,-,-,転載可,現況渡し,(株)Paddle,053-482-7733,34.6865976,137.7206176
100,売地,浜松市中央区鴨江２丁目,-,2026/05/24,25,-,-,358.96,所有権,60,-,1種中高,-,-,-,-,-,-,一般,-,-,要確認,現況渡し,(株)マストレ,053-448-5656,34.7039275,137.7132259
101,売地,浜松市中央区鴨江３丁目328-4 他7筆,-,2026/04/06,94,20.94,-,388.0,所有権,60,-,1種中高,-,-,-,-,-,-,一般,-,-,転載不可,更地渡し,(有)アイ・プラン,053-451-4656,34.7074281,137.7107623
102,売地,浜松市中央区鴨江４丁目22-10,-,2026/04/07,30,-,-,451.67,所有権,60,-,1種中高,-,-,-,-,-,-,一般,-,-,転載不可,現況渡し,SMD不動産(株),053-401-4235,34.7070674,137.7188388
103,売地,浜松市中央区河輪町,-,2026/05/09,1000,3.21,東海道本線 浜松 徒歩8 1分,808.88,所有権,60,-,無指定,-,-,-,-,-,-,一般,-,-,転載不可,更地渡し,浜松損害保険サービス(株),053-459-4180,34.6745298,137.7859558
104,売地,浜松市中央区河輪町48-1,-,2026/06/02,2580,6.34,-,1346.46,所有権,70,-,-,-,-,-,-,-,-,一般,-,-,要確認,現況渡し,(株)Re・lation,053-523-6715,34.6787406,137.7869436
105,売地,浜松市中央区舘山寺町５５番,-,2026/05/07,559977,5,バス停 遠鉄バス 東坊塚 停歩3分,395.0,所有権,-,-,取引態様,-,-,-,-,-,-,専任,-,-,転載不可,現況渡し,UNO real estate(株),053-454-0711,34.7648184,137.6135392
106,売地,浜松市中央区舘山寺町1422-1,-,2026/03/23,15,3.15,-,819.17,所有権,60,-,1種住居,-,-,-,-,-,-,売主,-,-,要確認,現況渡し,(株)AFCスマイル不動産 営業本部 浜松支社,053-450-3964,34.7648184,137.6135392
107,売地,浜松市中央区舘山寺町５２番１ 52番２,-,2026/05/07,11000000,5.27,バス停 遠鉄バス 東坊塚 停歩3分,628.0,所有権,60,-,無指定,-,-,-,-,-,-,専任,-,-,転載不可,現況渡し,UNO real estate(株),053-454-0711,34.7648184,137.6135392
108,売地,浜松市中央区舘山寺町２４６３－１,-,2026/05/21,11669900,8.05,バス停 舘山寺南 停歩2分,694.8,所有権,60,-,1種住居,-,-,-,-,-,-,一般,-,-,転載不可,更地渡し,遠州鉄道(株) 高台店,053-437-1976,34.76036010000001,137.6133486
109,売地,浜松市中央区舘山寺町2642番外1筆,-,2026/04/24,22888888,10,バス停 遠鉄バス 馬渡停 停歩6分,955.0,所有権,60,-,1種住居,-,-,-,-,-,-,媒介,-,-,転載不可,相談,とぴあ浜松農業協同組合不動産センター有玉店,053-476-3152,34.7648184,137.6135392
110,売地,浜松市中央区北島町1133番4,-,2026/05/16,1880,14.18,東海道本線 天竜川 徒歩28分,5.48,所有権,60,-,1種住居,-,-,-,-,-,-,専任,-,-,転載不可,-,SKY(株),053-414-2100,34.7326634,137.7868512
111,売地,浜松市中央区北島町849-1、849-2,-,2026/05/23,6400,19.91,東海道本線 天竜川 徒歩21分,1063.0,所有権,60,-,工業地域,-,-,-,-,-,-,一般,-,-,転載不可,現況渡し,浜松損害保険サービス(株),053-459-4180,34.7310076,137.7822553
